doi,title,first_author,year,journal,source,file,oa_status,added_by,added_at
10.1126/sciadv.adj2752,AMPK phosphorylation of FNIP1 (S220) controls mitochondrial function and muscle fuel utilization during exercise,Liwei Xiao,2024,Science Advances,hargreaves2020,2024_Liwei-Xiao_W4391629201.pdf,gold,team,2026-06-05
10.3389/fgene.2024.1377130,Detection and characterization of copy number variation in three differentially-selected Nellore cattle populations,Lorena Ferreira Benfica,2024,Frontiers in Genetics,hargreaves2020,2024_Lorena-Ferreira-Benfica_W4394887568.pdf,gold,team,2026-06-05
10.1101/2024.10.22.619751,Mitochondrial-targeted plastoquinone therapy ameliorates early onset muscle weakness that precedes ovarian cancer cachexia in mice,Luca J. Delfinis,2024,bioRxiv (Cold Spring Harbor Laboratory),hargreaves2020,2024_Luca-J-Delfinis_W4403750918.pdf,green,team,2026-06-05
10.3390/app14020676,The Effects of Intermittent Hypoxic Training on Anaerobic Performance in Young Men,Marcin Maciejczyk,2024,Applied Sciences,hargreaves2020,2024_Marcin-Maciejczyk_W4390816006.pdf,gold,team,2026-06-05
10.1038/s41598-024-74686-w,Effects of concurrent heat and hypoxic training on cycling anaerobic capacity in men,Marcin Maciejczyk,2024,Scientific Reports,hargreaves2020,2024_Marcin-Maciejczyk_W4403075210.pdf,gold,team,2026-06-05
10.3390/toxins16060242,Revitalizing the Gut Microbiome in Chronic Kidney Disease: A Comprehensive Exploration of the Therapeutic Potential of Physical Activity,Marieke Vandecruys,2024,Toxins,hargreaves2020,2024_Marieke-Vandecruys_W4399054889.pdf,gold,team,2026-06-05
10.3390/nu16121896,Evaluation of Nutrition and Performance Parameters in Division 1 Collegiate Athletes,Marni E. Shoemaker,2024,Nutrients,hargreaves2020,2024_Marni-E-Shoemaker_W4399749201.pdf,gold,team,2026-06-05
10.1016/j.heliyon.2024.e33497,Development of a low-fructose carbohydrate gel for exercise application,Isabel G. Martinez,2024,Heliyon,hargreaves2020,2024_Martinez_W4399926658.pdf,gold,team,2026-06-05
10.21203/rs.3.rs-4450743/v1,Gliclazide enhances exercise performance and recovery of muscle strength in healthy trained individuals: a randomized controlled trial,Jocelito Bijoldo Martins,2024,Research Square,hargreaves2020,2024_Martins_W4399601025.pdf,green,team,2026-06-05
10.3390/nu16244297,Investigating the Impact of Glycogen-Depleting Exercise Combined with Prolonged Fasting on Autophagy and Cellular Health in Humans: A Randomised Controlled Crossover Trial,Andrius Masedunskas,2024,Nutrients,hargreaves2020,2024_Masedunskas_W4405318069.pdf,gold,team,2026-06-05
10.1101/2024.01.23.23297820,Individual bioenergetic capacity as a potential source of resilience to Alzheimer’s disease,Matthias Arnold,2024,medRxiv,hargreaves2020,2024_Matthias-Arnold_W4391227150.pdf,green,team,2026-06-05
10.1038/s41598-024-58974-z,Repeated-sprint sets test: a new method for evaluating and forecasting fitness in elite young male soccer players,Mohamed Amin Selmi,2024,Scientific Reports,hargreaves2020,2024_Mohamed-Amin-Selmi_W4394766775.pdf,gold,team,2026-06-05
10.1136/bmjsem-2023-001822,Immediate effect of physical activity on the autonomic nervous system in individuals with autism spectrum disorders of different age groups: a randomised trial,Mohamed M. Radwan,2024,BMJ Open Sport & Exercise Medicine,hargreaves2020,2024_Mohamed-M-Radwan_W4394728230.pdf,gold,team,2026-06-05
10.51745/najfnr.8.17.192-201,Does sex differ the relationship between macronutrients adequacy and aerobic power?,Mohammad Arif Ali,2024,The North African Journal of Food and Nutrition Research,hargreaves2020,2024_Mohammad-Arif-Ali_W4400083921.pdf,diamond,team,2026-06-05
10.3390/nu16121921,"Efficacy of Lactococcus lactis subsp. lactis LY-66 and Lactobacillus plantarum PL-02 in Enhancing Explosive Strength and Endurance: A Randomized, Double-Blinded Clinical Trial",Mon-Chien Lee,2024,Nutrients,hargreaves2020,2024_Mon-Chien-Lee_W4399785193.pdf,gold,team,2026-06-05
10.3390/nu16203538,Sportomics Analyses of the Exercise-Induced Impact on Amino Acid Metabolism and Acute-Phase Protein Kinetics in Female Olympic Athletes,Renan Muniz‐Santos,2024,Nutrients,hargreaves2020,2024_MunizSantos_W4403585522.pdf,gold,team,2026-06-05
10.14744/tjtes.2024.59987,Effect of three different exercise trainings on functional capacity in early stage severe burn patients: A randomized controlled trial,Murat Ali Çınar,2024,Turkish Journal of Trauma and Emergency Surgery,hargreaves2020,2024_Murat-Ali-nar_W4401254235.pdf,hybrid,team,2026-06-05
10.1161/circresaha.123.323158,Systemic Deletion of ARRDC4 Improves Cardiac Reserve and Exercise Capacity in Diabetes,Yoshinobu Nakayama,2024,Circulation Research,hargreaves2020,2024_Nakayama_W4400210878.pdf,gold,team,2026-06-05
10.7717/peerj.17971,Changes in the force-time curve during a repeat power ability assessment using loaded countermovement jumps,Alex Natera,2024,PeerJ,hargreaves2020,2024_Natera_W4403139889.pdf,gold,team,2026-06-05
10.21203/rs.3.rs-4666482/v1,"The Metabolic Relevance of Locomotion Type in 30-second all-out Anaerobic Testing: Running, Cycling, and Jumping",Necip Fazıl Kishalı,2024,Research Square,hargreaves2020,2024_Necip-Faz-l-Kishal_W4400988441.pdf,green,team,2026-06-05
10.3390/nu16081130,Cornflower Extract and Its Active Components Alleviate Dexamethasone-Induced Muscle Wasting by Targeting Cannabinoid Receptors and Modulating Gut Microbiota,Ngoc Bao Nguyen,2024,Nutrients,hargreaves2020,2024_Ngoc-Bao-Nguyen_W4394715661.pdf,gold,team,2026-06-05
10.1016/j.freeradbiomed.2024.08.012,Evidence-based sports supplements: A redox analysis,Nikos V. Margaritelis,2024,Free Radical Biology and Medicine,hargreaves2020,2024_Nikos-V-Margaritelis_W4401540123.pdf,green,team,2026-06-05
